"NumberOfVehicles","AccidentDate","Time","FirstRoadClass","RoadSurface","LightingConditions","Daylight.Dark","WeatherConditions","TypeOfVehicle","CasualtyClass","CasualtySeverity","SexOfCasualty","AgeOfCasualty"
2,"13/09/2017",828,"U","Dry",1,"Daylight","Fine without high winds",9,1,3,2,53
1,"08/09/2017",1755,"U","Dry",7,"Dark","Fine without high winds",9,3,3,2,9
2,"08/09/2017",2130,"M62","Wet/Damp",4,"Dark","Raining without high winds",9,1,3,1,54
1,"09/09/2017",1522,"U","Dry",1,"Daylight","Fine without high winds",9,3,3,1,58
2,"09/09/2017",1743,"A6033","Wet/Damp",7,"Dark","Raining without high winds",9,1,3,2,61
3,"10/09/2017",1608,"U","Wet/Damp",1,"Daylight","Raining without high winds",1,1,3,1,22
3,"11/09/2017",538,"M62","Wet/Damp",4,"Dark","Raining without high winds",9,1,3,1,31
4,"11/09/2017",1330,"M62","Wet/Damp",1,"Daylight","Raining without high winds",9,2,3,2,64
2,"11/09/2017",1838,"A629","Dry",7,"Dark","Fine without high winds",9,1,2,1,31
2,"13/09/2017",1935,"A58","Wet/Damp",4,"Dark","Fine without high winds",9,1,3,1,21
3,"15/09/2017",1214,"M62","Dry",1,"Daylight","Fine without high winds",9,2,3,2,82
2,"16/09/2017",1205,"U","Dry",1,"Daylight","Fine without high winds",1,1,3,1,9
2,"16/09/2017",1555,"U","Dry",1,"Daylight","Fine without high winds",4,1,3,1,36
2,"17/09/2017",1025,"U","Wet/Damp",1,"Daylight","Fine without high winds",9,1,2,1,24
2,"20/09/2017",1627,"B6113","Dry",1,"Daylight","Fine without high winds",9,1,2,1,16
2,"21/09/2017",1625,"U","Dry",1,"Daylight","Fine without high winds",9,1,3,1,12
1,"22/09/2017",1617,"A58","Wet/Damp",1,"Daylight","Raining without high winds",3,1,3,1,25
1,"22/09/2017",725,"U","Dry",7,"Dark","Fine without high winds",9,3,3,2,13
2,"27/09/2017",1943,"U","Wet/Damp",4,"Dark","Raining without high winds",9,1,2,1,23
3,"28/09/2017",1205,"A646","Dry",1,"Daylight","Fine without high winds",9,2,3,1,86
2,"28/09/2017",2129,"U","Dry",4,"Dark","Fine without high winds",9,1,3,1,36
1,"26/09/2017",750,"A58","Dry",1,"Daylight","Fine without high winds",11,3,3,1,63
2,"16/09/2017",1300,"B6114","Dry",1,"Daylight","Fine without high winds",1,1,3,1,60
1,"29/09/2017",1843,"U","Dry",7,"Dark","Fine without high winds",3,1,2,1,17
1,"01/10/2017",1715,"U","Wet/Damp",7,"Dark","Fine without high winds",9,3,2,1,8
2,"03/10/2017",1250,"A58","Dry",1,"Daylight","Fine without high winds",9,1,2,1,22
1,"04/10/2017",753,"A6036","Wet/Damp",1,"Daylight","Raining with high winds",9,3,3,1,16
1,"05/10/2017",1600,"A646","Dry",1,"Daylight","Fine without high winds",5,1,3,1,47
2,"05/10/2017",1700,"U","Wet/Damp",7,"Dark","Fine without high winds",9,1,3,1,17
2,"06/10/2017",620,"A6025","Dry",7,"Dark","Fine without high winds",9,1,3,1,49
2,"08/10/2017",1220,"A644","Dry",1,"Daylight","Fine without high winds",9,1,3,1,38
4,"07/10/2017",2122,"A647","Wet/Damp",4,"Dark","Fine without high winds",9,1,3,1,31
2,"09/10/2017",1640,"U","Dry",1,"Daylight","Fine without high winds",5,1,1,1,42
3,"09/10/2017",1730,"M62","Dry",7,"Dark","Fine without high winds",21,1,3,2,32
2,"10/10/2017",702,"U","Dry",7,"Dark","Fine without high winds",1,1,2,1,41
2,"10/10/2017",1745,"A644","Dry",7,"Dark","Fine without high winds",9,1,3,2,25
2,"11/10/2017",143,"A6026(M)","Wet/Damp",4,"Dark","Fine without high winds",9,1,3,2,64
1,"11/10/2017",1130,"U","Dry",1,"Daylight","Fine without high winds",19,3,3,1,56
1,"12/10/2017",611,"A6025","Dry",7,"Dark","Fine without high winds",9,1,3,1,32
2,"14/10/2017",12,"U","Dry",4,"Dark","Fine without high winds",9,1,3,1,27
2,"15/10/2017",1935,"A646","Dry",4,"Dark","Fine without high winds",9,1,3,2,62
2,"16/10/2017",1011,"M62","Dry",1,"Daylight","Fine without high winds",9,1,3,2,43
1,"17/10/2017",1607,"U","Dry",1,"Daylight","Fine without high winds",9,3,3,1,87
1,"19/10/2017",840,"A672","Dry",1,"Daylight","Fine without high winds",9,1,3,2,33
2,"14/10/2017",1130,"U","Dry",1,"Daylight","Fine without high winds",9,2,3,1,29
2,"21/10/2017",55,"A58","Dry",4,"Dark","Fine without high winds",8,2,3,1,27
4,"22/10/2017",1531,"U","Dry",1,"Daylight","Fine without high winds",9,2,3,2,56
2,"25/10/2017",1450,"A644","Dry",1,"Daylight","Fine without high winds",9,1,3,2,24
1,"27/10/2017",1630,"A646","Dry",1,"Daylight","Fine without high winds",19,3,2,2,15
2,"28/10/2017",1313,"A649","Dry",1,"Daylight","Fine without high winds",9,2,3,2,30
2,"29/10/2017",1220,"U","Dry",1,"Daylight","Fine without high winds",9,1,3,2,41
2,"31/10/2017",1202,"U","Dry",1,"Daylight","Fine without high winds",9,1,3,1,33
1,"31/10/2017",1720,"U","Dry",4,"Dark","Fine without high winds",9,3,3,1,25
2,"31/10/2017",1851,"U","Dry",4,"Dark","Fine without high winds",9,1,3,1,34
3,"01/11/2017",744,"B6112","Dry",1,"Daylight","Fine without high winds",9,1,3,1,28
1,"04/11/2017",2331,"U","Dry",4,"Dark","Fine without high winds",9,3,3,1,42
3,"05/11/2017",1020,"A644","Dry",1,"Daylight","Fine without high winds",19,2,3,1,5
2,"05/11/2017",2259,"U","Wet",4,"Dark","Fine without high winds",9,1,3,2,23
1,"06/11/2017",1500,"U","Dry",1,"Daylight","Fine without high winds",9,3,3,2,30
2,"06/11/2017",1709,"U","Dry",4,"Dark","Fine without high winds",9,1,2,1,19
2,"06/11/2017",1713,"M62","Dry",4,"Dark","Fine without high winds",21,1,3,1,64
1,"07/11/2017",1150,"U","Dry",1,"Daylight","Fine without high winds",9,3,3,1,27
1,"07/11/2017",1615,"A6025","Dry",1,"Daylight","Fine without high winds",19,3,3,1,17
4,"08/11/2017",1743,"U","Dry",7,"Dark","Fine without high winds",9,1,3,2,25
1,"08/11/2017",2100,"U","Wet/Damp",4,"Dark","Fine without high winds",9,2,3,1,25
1,"09/11/2017",1730,"U","Wet/Damp",4,"Dark","Fine without high winds",1,1,3,1,27
1,"11/11/2017",1858,"M62","Dry",4,"Dark","Fine without high winds",9,1,2,2,26
2,"13/11/2017",1644,"U","Dry",4,"Dark","Fine without high winds",9,1,3,2,56
2,"14/11/2017",1420,"A6033","Dry",1,"Daylight","Fine without high winds",9,1,3,2,61
2,"19/11/2017",1030,"U","Dry",1,"Daylight","Fine without high winds",9,1,3,2,62
2,"19/11/2017",1515,"A646","Dry",1,"Daylight","Fine without high winds",19,2,2,1,47
2,"23/11/2017",1610,"M62","Wet ¨ Damp",4,"Dark","Raining without high winds",9,1,3,1,51
2,"24/11/2017",1407,"A672","Wet/Damp",1,"Daylight","Fine without high winds",9,1,3,1,37
2,"25/11/2017",1330,"U","Wet/Damp",1,"Daylight","Fine without high winds",9,1,3,1,66
1,"27/11/2017",1308,"U","Wet ¨ Damp",1,"Daylight","Fine without high winds",9,3,3,1,14
